,image_name,xmin,ymin,xmax,ymax,class_id
0,DSCF1013.jpg,170,316,239,353,1
1,DSCF1013.jpg,248,302,315,344,2
2,DSCF1013.jpg,324,293,389,335,3
3,DSCF1013.jpg,180,342,249,386,4
4,DSCF1013.jpg,263,336,331,379,5
5,DSCF1013.jpg,340,325,407,368,6
6,DSCF1015.jpg,89,251,255,418,3
7,DSCF1015.jpg,288,191,445,328,6
8,DSCF1016.jpg,149,344,306,459,4
9,DSCF1016.jpg,274,239,417,344,6
10,DSCF1016.jpg,335,134,471,253,3
11,DSCF1017.jpg,257,130,368,209,4
12,DSCF1021.jpg,279,141,408,243,5
13,DSCF1023.jpg,267,218,378,302,2
14,DSCF1025.jpg,138,293,313,426,6
15,DSCF1029.jpg,18,308,196,445,6
16,DSCF1029.jpg,204,201,361,357,2
17,DSCF1029.jpg,358,154,506,305,1
18,DSCF1032.jpg,20,224,158,311,5
19,DSCF1032.jpg,328,210,456,295,6
20,DSCF1037.jpg,169,320,376,440,1
21,DSCF1038.jpg,169,330,416,479,2
22,DSCF1040.jpg,64,339,201,441,2
23,DSCF1040.jpg,202,335,325,425,1
24,DSCF1040.jpg,323,332,433,419,4
25,DSCF1042.jpg,283,314,425,409,5
26,DSCF1044.jpg,204,224,337,322,6
27,DSCF1048.jpg,62,230,155,288,4
28,DSCF1048.jpg,210,221,303,276,5
29,DSCF1048.jpg,352,205,451,263,3
30,DSCF1049.jpg,67,186,178,259,4
31,DSCF1049.jpg,241,223,344,297,5
32,DSCF1049.jpg,387,255,486,320,3
33,DSCF1050.jpg,63,143,176,211,5
34,DSCF1050.jpg,248,151,359,219,3
35,DSCF1053.jpg,129,287,271,384,1
36,DSCF1053.jpg,282,282,424,380,6
37,DSCF1056.jpg,65,179,239,297,2
38,DSCF1056.jpg,238,178,409,302,6
39,DSCF1059.jpg,171,186,326,318,2
40,DSCF1061.jpg,68,308,259,456,6
41,DSCF1061.jpg,167,225,327,343,2
42,DSCF1064.jpg,336,66,450,164,3
43,DSCF1064.jpg,82,138,212,246,2
44,DSCF1065.jpg,98,192,212,250,5
45,DSCF1065.jpg,307,169,415,227,1
46,DSCF1066.jpg,143,209,243,271,1
47,DSCF1066.jpg,284,209,381,269,5
48,DSCF1068.jpg,105,64,289,157,5
49,DSCF1068.jpg,345,286,479,385,1
50,DSCF1070.jpg,226,264,371,373,2
51,DSCF1070.jpg,214,185,337,283,6
52,DSCF1072.jpg,104,226,233,329,3
53,DSCF1072.jpg,267,274,403,374,2
54,DSCF1074.jpg,158,246,402,427,2
55,DSCF1077.jpg,43,239,199,355,6
56,DSCF1077.jpg,238,251,397,367,1
57,DSCF1081.jpg,207,239,307,314,4
58,DSCF1082.jpg,139,108,274,208,5
59,DSCF1082.jpg,297,112,430,213,4
60,DSCF1086.jpg,100,182,185,244,4
61,DSCF1086.jpg,206,181,290,244,2
62,DSCF1086.jpg,305,188,388,252,1
63,DSCF1086.jpg,403,185,488,252,3
64,DSCF1088.jpg,172,82,283,161,5
65,DSCF1088.jpg,186,285,277,354,2
66,DSCF1090.jpg,269,146,363,215,1
67,DSCF1092.jpg,59,241,181,342,4
68,DSCF1092.jpg,229,284,354,381,5
69,DSCF1092.jpg,348,192,453,286,3
70,DSCF1094.jpg,193,193,332,302,4
71,DSCF1097.jpg,186,120,348,238,5
72,DSCF1099.jpg,156,104,312,209,6
73,DSCF1101.jpg,142,200,271,294,2
74,DSCF1103.jpg,207,101,304,168,6
75,DSCF1103.jpg,163,351,283,448,5
76,DSCF1104.jpg,240,92,336,153,5
77,DSCF1104.jpg,229,333,337,413,1
78,DSCF1105.jpg,152,190,337,331,2
79,DSCF1106.jpg,168,201,330,318,2
80,DSCF1109.jpg,147,164,313,285,3
81,DSCF1110.jpg,96,139,258,261,3
82,DSCF1110.jpg,269,148,434,268,1
83,DSCF1111.jpg,265,162,408,270,6
84,DSCF1111.jpg,94,163,240,272,2
85,DSCF1114.jpg,215,220,354,315,6
86,DSCF1116.jpg,216,272,356,370,5
87,DSCF1120.jpg,173,238,359,370,3
88,DSCF1122.jpg,207,177,349,279,5
89,DSCF1125.jpg,137,174,229,251,1
90,DSCF1125.jpg,168,260,282,351,6
91,DSCF1125.jpg,337,234,448,320,2
92,DSCF1129.jpg,197,331,308,425,6
93,DSCF1130.jpg,212,319,318,407,1
94,DSCF1132.jpg,386,188,454,234,1
95,DSCF1132.jpg,320,239,445,337,4
96,DSCF1132.jpg,24,311,221,449,5
97,DSCF1133.jpg,189,223,349,380,1
98,DSCF1135.jpg,252,230,337,297,6
99,DSCF1137.jpg,263,212,382,302,2
100,DSCF1140.jpg,241,111,352,164,6
101,DSCF1141.jpg,251,124,361,176,2
102,DSCF1142.jpg,128,224,252,297,2
103,DSCF1142.jpg,282,226,405,299,1
